rollout/episodes,total/epochs,rollout/episode_steps,total/duration,reference_perturbed_action_std,train/loss_actor,total/episodes,total/steps,train/param_noise_distance,rollout/return,rollout/actions_mean,reference_action_std,reference_actor_Q_std,total/steps_per_second,reference_perturbed_action_mean,reference_Q_std,rollout/actions_std,reference_Q_mean,rollout/Q_mean,param_noise_stddev,obs_rms_std,obs_rms_mean,reference_action_mean,reference_actor_Q_mean,rollout/return_history,train/loss_critic
800.0,40,1832.47125,7254.170995,0.894974410534,-9847.43107422,800.0,1465977,,156791.881329,0.0372231774198,0.897955596447,3127.57617188,202.08746127,-0.123108156025,3120.57714844,0.377212112055,9119.91601562,10078.867555,0.0696569371989,0.200262278318,0.248071655631,-0.131588488817,9146.3359375,179228.185598,38179.4594727
820.0,41,1828.65365854,7420.50817847,0.904225289822,-9984.73683594,820.0,1499496,,156722.300209,0.0371537503026,0.901354253292,3141.96948242,202.074570088,-0.045718871057,3128.44921875,0.376069606327,9139.21386719,10083.4350794,0.0696569371989,0.200259327888,0.248195469379,-0.0703259631991,9166.59570312,170631.727396,31097.9239062
840.0,42,1825.74880952,7580.39567256,0.889738976955,-9946.55707031,840.0,1533629,,156766.749566,0.0367798526154,0.905801773071,3185.75048828,202.315164834,0.131788313389,3172.92333984,0.375347679222,9132.63476562,10086.7068943,0.0643270128327,0.200255066156,0.248320773244,-0.00752637535334,9158.80664062,168296.296122,132840.514258
860.0,43,1822.01511628,7731.59703922,0.890644490719,-9879.42009766,860.0,1566933,,156315.618608,0.0366479169891,0.886685192585,3169.8137207,202.666149316,-0.134542107582,3160.58349609,0.374673685657,9140.546875,10072.6929487,0.0643270128327,0.200242877007,0.248408585787,-0.0259963404387,9166.63769531,165006.106586,25943.282334
880.0,44,1817.1,7882.44373131,0.873712360859,-9948.6953125,880.0,1599048,,155576.754137,0.0365492826111,0.885322630405,3185.97875977,202.861961913,-0.0257473047823,3166.2734375,0.37333759882,9179.5703125,10053.753496,0.0656199857907,0.200194388628,0.248441770673,-0.0824148207903,9200.03125,154577.879869,46350.0384766
900.0,45,1809.95888889,8031.03574038,0.883791565895,-9830.71849609,900.0,1628963,,154572.759827,0.0361472356012,0.884303212166,3180.58496094,202.833489062,0.0280920956284,3169.76855469,0.372076583406,9149.32617188,10044.1879035,0.0656199857907,0.200188323855,0.248545318842,-0.0210317187011,9171.21191406,136819.787808,43114.4556641
920.0,46,1802.58913043,8168.81955981,0.873865187168,-9937.67462891,920.0,1658382,,153580.192021,0.0359739375677,0.887034475803,3191.26708984,203.013665299,0.0529724732041,3180.64526367,0.371423973262,9120.48925781,10026.9047867,0.0656199857907,0.200159907341,0.248602434993,0.0200889967382,9140.32226562,127814.904878,35096.4236523
940.0,47,1804.30212766,8345.37889338,0.887666523457,-9872.70630859,940.0,1696044,,154160.613308,0.0357572822189,0.887449085712,3162.06933594,203.231515509,-0.0844759270549,3152.08178711,0.369621876463,9091.93652344,10041.9698683,0.0656199857907,0.200162351131,0.248777717352,-0.0141084380448,9109.15625,132269.068742,74117.6442285
960.0,48,1817.94895833,8569.45409799,0.915153801441,-9943.36753906,960.0,1745231,,155433.442246,0.0351319928522,0.893030226231,3164.62866211,203.657196835,-0.0715326815844,3154.25610352,0.366986733032,9088.4453125,10046.8177645,0.0605989559372,0.200153544545,0.249006658792,-0.0382903628051,9106.41796875,147846.725538,26998.4467188
980.0,49,1824.68061224,8759.15093017,0.896069049835,-9979.49855469,980.0,1788187,,156409.535082,0.0346331352369,0.894524335861,3138.87841797,204.150723541,0.0581160448492,3136.48754883,0.365264447643,9079.68554688,10055.3562737,0.0605989559372,0.200134575367,0.249155074358,0.0391218438745,9102.53125,163738.007391,23761.9433301
1000.0,50,1844.575,9011.04398394,0.879614770412,-9956.56103516,1000.0,1844575,,159077.430094,0.034323750137,0.891576766968,3161.57861328,204.701586552,0.0958180055022,3156.26147461,0.36161252625,9095.97558594,10094.2304834,0.0605989559372,0.200144872069,0.249480426311,0.0048304470256,9117.37109375,199619.462503,97544.2683203
1020.0,51,1851.81176471,9221.20744777,0.901679515839,-9893.91175781,1020.0,1888848,,160309.583978,0.0340883567251,0.899469017982,3161.42163086,204.837382816,-0.0374782308936,3148.03295898,0.359806893058,9131.57714844,10112.4402152,0.0605989559372,0.200126349926,0.249672546983,-0.0379899665713,9156.29296875,222219.989989,28931.2826367
1040.0,52,1850.29519231,9389.23625517,0.911656141281,-9964.78376953,1040.0,1924307,,160004.001956,0.0341588318946,0.899075746536,3176.67285156,204.948192558,-0.0596144832671,3159.25854492,0.359154333215,9102.85351562,10102.6289317,0.0605989559372,0.200113996863,0.249765917659,-0.0741377174854,9131.20996094,214931.855241,131775.436445
1060.0,53,1860.48773585,9612.12877703,0.909397244453,-10063.9708398,1060.0,1972117,,161562.552405,0.033622201369,0.897796154022,3135.2277832,205.169639915,-0.110726617277,3124.37719727,0.3568744257,9163.8046875,10124.627424,0.0605989559372,0.2001067698,0.249976813793,-0.0776405408978,9190.38574219,220402.009928,41298.3217578
1080.0,54,1861.92314815,9807.77660584,0.871541261673,-10087.0975977,1080.0,2010877,,161975.446604,0.0338979234534,0.891153812408,3116.53930664,205.028833834,-0.0199756212533,3114.34521484,0.355885376188,9137.44433594,10128.9865287,0.0605989559372,0.200056478381,0.250072360039,0.0157052725554,9163.25195312,216521.379523,26316.012041
