obs_rms_mean,param_noise_stddev,rollout/episode_steps,rollout/actions_mean,reference_perturbed_action_mean,rollout/episodes,reference_Q_std,train/loss_actor,total/epochs,rollout/actions_std,reference_action_mean,train/param_noise_distance,rollout/return,reference_action_std,reference_actor_Q_mean,total/steps_per_second,reference_actor_Q_std,train/loss_critic,reference_perturbed_action_std,total/duration,reference_Q_mean,total/episodes,rollout/Q_mean,obs_rms_std,rollout/return_history,total/steps
0.155954390764,0.048684971323,762.754545455,-0.0117583382151,0.290885776281,440.0,2932.87475586,-5026.4590625,22,0.618510916868,0.29248291254,,34182.1234229,0.886349797249,4204.09667969,176.335354841,2933.30224609,16067.5814941,0.875611722469,1903.2598443,4193.78369141,440.0,5020.01609139,0.17168995738,40752.7051425,335612
0.155993402004,0.048684971323,765.447826087,0.000422116223578,0.236917763948,460.0,2925.76342773,-5070.71645996,23,0.617496044785,0.218990147114,,34372.5564878,0.908135294914,4253.37939453,176.492006901,2925.74511719,19029.5683447,0.903960585594,1995.02519226,4243.71679688,460.0,5014.62092386,0.171752944589,40806.2147665,352106
0.15601041913,0.048684971323,769.608333333,0.0123887535845,0.215947449207,480.0,2940.90576172,-5054.99397461,24,0.618049361564,0.215405598283,,34649.608833,0.904512286186,4266.87548828,176.632151688,2937.42431641,13145.9232715,0.913706421852,2091.41991687,4252.0859375,480.0,5007.9668106,0.171802014112,40377.6767955,369412
0.156137943268,0.0506617763854,765.15,0.0138334145493,0.152762681246,500.0,2889.81811523,-5255.78420898,25,0.6147190614,0.238748937845,,34936.5556462,0.90119343996,4329.12255859,176.203248045,2885.19750977,19232.6725781,0.938875198364,2171.21423268,4306.99121094,500.0,5056.68887566,0.171789765358,40419.9556983,382575
0.15625885129,0.0506617763854,760.711538462,0.0155287980069,0.171270981431,520.0,2896.02539062,-5219.91591797,26,0.611579674261,0.150995910168,,35146.5797552,0.925967752934,4334.22802734,175.737357041,2893.45922852,13680.6570703,0.906998336315,2250.91583633,4317.01953125,520.0,5100.70855363,0.17178593576,40083.0687857,395570
0.156331419945,0.0506617763854,759.825925926,0.019941030977,0.318664073944,540.0,2900.61279297,-5225.56754883,27,0.609511660952,0.29456615448,,35373.6136341,0.882152020931,4339.734375,175.657672033,2896.4777832,14513.1797656,0.88379740715,2335.8273809,4319.96972656,540.0,5125.20299653,0.171787530184,40616.1705633,410306
0.156401470304,0.0506617763854,757.917857143,0.018917985713,0.153436779976,560.0,2884.55566406,-5224.54835937,28,0.609205032035,0.179618492723,,35502.8569703,0.916815459728,4373.43164062,175.437594099,2882.30908203,14051.3579492,0.939948797226,2419.28762293,4354.27441406,560.0,5146.83076537,0.17179197073,40702.2391902,424434
0.156526386738,0.0506617763854,754.082758621,0.0203607073891,0.149113878608,580.0,2902.93945312,-5189.46983398,29,0.605575935859,0.115849077702,,35727.6526257,0.934928059578,4351.86816406,174.895694641,2903.10766602,15076.9344092,0.923330247402,2500.73622966,4335.05566406,580.0,5186.99973269,0.171789944172,40902.2628307,437368
0.156644448638,0.0506617763854,751.268333333,0.0213531719425,0.125399544835,600.0,2906.98266602,-5423.67832031,30,0.603250776929,0.129459708929,,35962.8052355,0.917978703976,4378.24707031,174.527504482,2909.29980469,14562.0714551,0.918967664242,2582.75050306,4365.08642578,600.0,5224.51265383,0.171768754721,41094.0531825,450761
0.156774103642,0.048684971323,748.65,0.021918779404,0.145125359297,620.0,2939.35864258,-5292.92701172,31,0.600577205026,0.0971097350121,,36166.4085504,0.929497480392,4389.72460938,174.241371484,2937.03686523,15966.8688086,0.931646168232,2663.90809512,4370.77734375,620.0,5260.32249485,0.17175963521,41469.5182851,464163
0.156897902489,0.048684971323,745.8890625,0.0230776638249,0.108923710883,640.0,2941.60327148,-5422.50891602,32,0.598625085503,0.22219158709,,36303.9978746,0.912766218185,4363.84863281,173.921854234,2933.72216797,14701.1853711,0.942278146744,2744.73269677,4334.99707031,640.0,5292.33788532,0.1717479527,41328.0727736,477369
0.157021865249,0.048684971323,743.165151515,0.0238876821642,0.158497974277,660.0,2911.48754883,-5463.35685547,33,0.595974108665,0.111502863467,,36469.4954834,0.927192151546,4371.42480469,173.629514512,2911.46142578,18276.2480957,0.926148116589,2824.91718864,4359.98144531,660.0,5324.1126286,0.171733766794,41882.6711563,490489
0.157142683864,0.048684971323,740.523529412,0.0245756024292,0.143689990044,680.0,2889.34619141,-5436.2250293,34,0.594122444305,0.120536796749,,36556.3412724,0.931965887547,4433.55664062,173.165034861,2884.12744141,25550.3093555,0.940389871597,2907.95425534,4412.57421875,680.0,5352.40801505,0.171725869179,41362.7354232,503556
0.157273426652,0.055962119108,737.648571429,0.0257871092145,0.135080754757,700.0,2894.31030273,-5432.72513672,35,0.591629791035,0.113056071103,,36660.4399459,0.936369895935,4432.60253906,172.884448933,2886.14770508,15875.7990527,0.916805624962,2986.7000947,4407.09472656,700.0,5379.92041244,0.171734362841,40846.248208,516354
0.157398790121,0.055962119108,735.145833333,0.0267054280591,0.222141593695,720.0,2898.58056641,-5610.34920898,36,0.589018975954,0.163905739784,,36749.3612488,0.922867774963,4419.22949219,172.524964147,2894.65454102,15765.9279443,0.93009185791,3067.99078393,4403.00732422,720.0,5405.98426245,0.17173370719,40363.6679787,529305
0.157523736358,0.0496635392466,732.993243243,0.0279528445937,0.192694753408,740.0,2864.38769531,-5510.66381836,37,0.587009720049,0.166470974684,,36828.1656792,0.918801784515,4442.53222656,172.137775077,2853.31835938,15321.1734668,0.918592631817,3151.05153275,4417.68505859,740.0,5429.42496705,0.171733319759,40182.839628,542415
0.157646104693,0.0496635392466,731.475,0.0290679881748,0.172592237592,760.0,2787.56640625,-5544.70873047,38,0.585356590215,0.110731206834,,36977.2920836,0.94008243084,4478.8125,171.96076785,2784.31762695,15682.4894287,0.938803970814,3232.83622742,4460.43896484,760.0,5453.78786632,0.17173025012,40328.749645,555921
0.157756775618,0.0496635392466,729.833333333,0.030162845316,0.0949950814247,780.0,2790.11987305,-5593.27436523,39,0.584123269893,0.059428293258,,37107.0377044,0.945889770985,4469.77246094,171.808526182,2794.54589844,12667.9731348,0.933655977249,3313.39784265,4454.87597656,780.0,5477.16471317,0.171718657017,40851.7734423,569270
0.157863348722,0.0496635392466,728.4625,0.0308399678856,0.0659794509411,800.0,2811.36254883,-5510.77056641,40,0.582971249643,0.0584909580648,,37222.5583199,0.939052760601,4478.60253906,171.597573779,2809.26342773,13112.6457959,0.944429397583,3396.14358854,4461.8046875,800.0,5498.17784727,0.171701177955,41157.3869378,582770
0.157979905605,0.0496635392466,726.990243902,0.031393209976,0.111309058964,820.0,2815.49169922,-5699.24131836,41,0.581112280473,0.14829851687,,37348.7792876,0.925734221935,4507.03369141,171.26774943,2813.52197266,15876.971582,0.93199890852,3480.70201182,4487.29833984,820.0,5519.90947945,0.171687662601,41664.5891669,596132
0.158104360104,0.0496635392466,725.544047619,0.031970580837,0.163767054677,840.0,2813.02172852,-5664.35466797,42,0.579294595685,0.0965722203255,,37429.2963974,0.932558655739,4513.97998047,171.11767467,2808.96875,14985.1834619,0.921573758125,3561.62506986,4492.34375,840.0,5539.74307571,0.171675562859,41877.6637124,609457
0.158220231533,0.0496635392466,723.760465116,0.032310968785,0.0893551558256,860.0,2775.48339844,-5606.96874023,43,0.577041246256,0.0515383481979,,37537.960235,0.927080512047,4492.91308594,170.930350434,2776.90112305,11937.9630029,0.928588271141,3641.44810104,4482.6015625,860.0,5561.99665422,0.171661108732,41799.0381854,622434
0.158339381218,0.0496635392466,721.473863636,0.0324379372297,0.107312634587,880.0,2776.00195312,-5660.76470703,44,0.574268304177,0.00617231382057,,37610.262513,0.927491366863,4462.82226562,170.707366588,2775.43798828,11974.7222949,0.928158164024,3719.21266603,4449.54589844,880.0,5583.6997842,0.171664178371,41535.4160202,634897
0.158452808857,0.0496635392466,719.566666667,0.0318427372136,-0.0329087600112,900.0,2779.06616211,-5690.42178711,45,0.572167579728,-0.0667298212647,,37687.922444,0.925879895687,4405.12646484,170.437964729,2780.71020508,10402.8490576,0.916757166386,3799.68160868,4396.36425781,900.0,5602.95857482,0.171657919884,41410.8354372,647610
