train/loss_actor,total/steps,reference_action_mean,param_noise_stddev,obs_rms_mean,rollout/episode_steps,reference_Q_std,total/episodes,rollout/episodes,reference_perturbed_action_std,total/steps_per_second,total/epochs,reference_actor_Q_std,reference_perturbed_action_mean,rollout/return,reference_actor_Q_mean,total/duration,rollout/actions_std,rollout/actions_mean,reference_Q_mean,obs_rms_std,train/loss_critic,rollout/return_history,train/param_noise_distance,reference_action_std,rollout/Q_mean
-789.98541687,697847,0.143225237727,0.0172970501719,0.606390595436,1661.54047619,180.004653931,420.0,420.0,0.931259512901,331.271580243,21,182.959365845,0.124331556261,15013.869818,261.34161377,2106.57068586,0.690745204674,-0.181083555373,257.085510254,0.138613298535,1040.2997998,18759.4017726,,0.942253410816,309.05134177
-796.056756592,732940,0.0959343090653,0.0172970501719,0.606657087803,1665.77272727,182.047225952,440.0,440.0,0.955711007118,331.455112038,22,186.042739868,0.0944951474667,16001.8485848,266.119018555,2211.27981853,0.698960989038,-0.185333747134,261.455932617,0.139673709869,613.522967987,14687.596206,,0.943148136139,338.726779069
-879.10133667,767073,-0.0914564356208,0.0176447208803,0.606643021107,1667.55,202.647109985,460.0,460.0,0.901983559132,332.614897616,23,203.825393677,-0.0303039010614,16035.9049899,279.75881958,2306.18954682,0.708239849265,-0.192297797114,277.730773926,0.139929160476,1270.63752045,17631.1251222,,0.926953911781,350.024491554
-918.528625488,797424,0.113408364356,0.0176447208803,0.606999576092,1661.3,186.896850586,480.0,480.0,0.933081686497,331.348896244,24,186.954849243,0.147633835673,16477.5635976,268.745605469,2406.59923434,0.715482855652,-0.170521118438,268.17980957,0.140494450927,1719.5610733,22524.6402737,,0.946406960487,378.090338498
-1001.87540405,823844,-0.398390799761,0.0176447208803,0.608062744141,1647.688,185.87588501,500.0,500.0,0.757992267609,328.884050719,25,186.477981567,-0.454191237688,18505.3689549,270.121368408,2504.96793079,0.714844386774,-0.168941121653,270.13470459,0.142021790147,2760.08175354,35474.5772291,,0.767414093018,447.158783777
-1013.36232544,863336,-0.030277883634,0.0176447208803,0.608035445213,1660.26153846,176.384140015,520.0,520.0,0.933564305305,327.830525187,26,177.255264282,-0.0113617004827,19912.1394242,267.764038086,2633.48264933,0.714235690418,-0.193926406942,265.393920898,0.142968356609,1424.67416382,40484.8717703,,0.942634880543,499.339351606
-1132.33758667,897289,0.186494365335,0.0176447208803,0.608908414841,1661.6462963,163.471282959,540.0,540.0,0.927273988724,328.592637569,27,166.029663086,0.0910240113735,21893.6179035,265.147674561,2730.70330071,0.71301681898,-0.194914026023,261.913513184,0.144114717841,2457.82525574,47817.4029062,,0.89655148983,585.935068018
-1249.75624634,930611,-0.132824599743,0.0176447208803,0.610162556171,1661.80535714,122.313774109,560.0,560.0,0.922655642033,328.296578361,28,122.438514709,-0.105789899826,24773.3212735,244.250808716,2834.66554737,0.709341953687,-0.195562991486,241.903411865,0.145389407873,2480.00136414,64965.4361781,,0.908168315887,692.986433343
-1328.80882324,965243,-0.0453462786973,0.0153502537744,0.611693143845,1664.21206897,150.351867676,580.0,580.0,0.921278953552,328.525412456,29,156.783065796,-0.0872119143605,27140.230511,272.594177246,2938.10756612,0.706771317358,-0.195148394971,266.244110107,0.146624654531,5230.19536865,78321.0316953,,0.946481049061,790.210165108
-1526.25264526,1011205,-0.180057168007,0.0159735356322,0.614659368992,1685.34166667,146.712799072,600.0,600.0,0.938025951385,327.094357256,30,153.065185547,-0.132025644183,33245.1632176,268.256958008,3091.47797132,0.695615955189,-0.187777550178,262.849853516,0.148753240705,33780.91724,106944.134531,,0.929826140404,1010.45836184
